date,stations_nb,ready,renting,returning,not_installed,not_renting,not_returning
1777600982,228,228,205,224,0,0,0
1777615080,228,228,206,224,0,0,0
1777623005,228,228,205,224,0,0,0
1777630445,228,228,181,224,0,0,0
1777636200,228,228,172,225,0,0,0
1777640104,228,228,167,226,0,0,0
1777644754,228,228,146,223,0,0,0
1777650268,228,228,167,226,0,0,0
1777653756,228,228,173,226,0,0,0
1777657730,228,228,168,226,0,0,0
1777661762,228,228,188,223,0,0,0
1777665608,228,228,181,222,0,0,0
1777671711,228,228,197,224,0,0,0
1777675134,228,228,209,228,0,0,0
1777678857,228,228,205,228,0,0,0
1777686602,228,228,205,227,0,0,0
