date,bikes_nb,for_rent,disabled,reserved,no_station
1735692686,1370,1170,105,0,96
1735697884,1365,1173,115,0,79
1735701690,1393,1171,136,0,85
1735704711,1429,1193,139,0,96
1735708156,1461,1224,145,0,90
1735712022,1454,1206,160,0,88
1735715345,1466,1162,209,0,93
1735719154,1461,1197,183,0,79
1735722597,1458,1222,145,0,88
1735726164,1440,1234,140,0,60
1735729604,1402,1234,120,0,46
1735733827,1383,1211,115,0,53
1735737267,1318,1167,110,0,53
1735740469,1303,1156,101,0,44
1735744159,1282,1111,109,0,63
1735747849,1272,1093,130,0,49
1735751241,1280,1094,137,0,48
1735755114,1369,1184,127,0,58
1735758379,1390,1214,117,0,57
1735762191,1415,1246,110,0,60
1735765700,1430,1248,111,0,68
1735769267,1446,1279,113,0,52
1735772894,1464,1272,117,0,73
1735778697,1477,1253,116,0,104
1735783781,1488,1300,118,0,68
1735787590,1493,1295,119,0,77
1735791095,1491,1297,118,0,72
1735794544,1493,1306,120,0,63
1735798412,1478,1283,121,0,69
1735801736,1456,1255,125,0,71
1735805546,1428,1217,143,0,64
1735808994,1419,1236,112,0,66
1735812569,1369,1207,87,0,70
1735816018,1335,1201,83,0,50
1735820255,1305,1162,90,0,52
1735823705,1283,1132,109,0,41
1735826912,1220,1097,103,0,23
1735830542,1188,1059,101,0,30
1735834294,1118,1002,96,0,23
1735837680,1150,1008,113,0,30
1735841553,1219,1061,128,0,33
1735844819,1282,1124,120,0,39
1735848571,1323,1159,118,0,40
1735852080,1357,1182,120,0,49
1735855709,1361,1189,123,0,47
1735859337,1394,1209,125,0,58
1735865140,1417,1227,130,0,62
1735870277,1429,1236,134,0,60
1735874085,1430,1236,139,0,56
1735877471,1439,1237,138,0,64
1735880976,1436,1251,139,0,45
1735884782,1427,1231,141,0,55
1735888106,1382,1104,222,0,54
1735891917,1353,1103,191,0,61
1735895365,1326,1124,154,0,48
1735898995,1267,1098,117,0,51
1735902445,1228,1088,98,0,40
1735906621,1210,1081,81,0,44
1735910127,1176,1046,79,0,51
1735913275,1170,1055,69,0,45
1735916966,1173,1029,93,0,50
1735920658,1158,1010,104,0,43
1735924048,1209,1049,119,0,38
1735927919,1246,1083,120,0,45
1735931187,1295,1138,102,0,50
1735934998,1334,1195,89,0,48
1735938447,1341,1179,95,0,64
1735942075,1342,1187,97,0,56
1735945763,1366,1208,94,0,63
1735951445,1387,1212,96,0,77
1735956462,1409,1252,99,0,56
1735960330,1420,1241,103,0,70
1735963835,1425,1257,104,0,58
1735967279,1424,1251,106,0,66
1735971145,1412,1239,107,0,65
1735974469,1413,1233,110,0,67
1735978277,1388,1170,164,0,51
1735981724,1308,1111,136,0,59
1735985354,1291,1102,124,0,64
1735988804,1259,1110,106,0,41
1735992976,1252,1106,109,0,35
1735996420,1210,1056,109,0,43
1735999624,1185,1027,120,0,37
1736003248,1186,1019,121,0,45
1736006994,1220,1050,125,0,44
1736010439,1190,1015,133,0,44
1736014305,1233,1049,139,0,45
1736017568,1248,1074,134,0,42
1736021314,1300,1114,133,0,52
1736024819,1323,1120,138,0,67
1736028444,1340,1145,135,0,61
1736032069,1330,1130,142,0,57
1736038293,1369,1136,152,0,78
1736043430,1400,1189,155,0,58
1736047055,1408,1187,158,0,65
1736050256,1412,1199,158,0,57
1736053699,1419,1200,160,0,61
1736057565,1408,1183,162,0,66
