date,bikes_nb,for_rent,disabled,reserved,no_station
1735692686,1370,1170,105,0,96
1735697884,1365,1173,115,0,79
1735701690,1393,1171,136,0,85
1735704711,1429,1193,139,0,96
1735708156,1461,1224,145,0,90
1735712022,1454,1206,160,0,88
1735715345,1466,1162,209,0,93
1735719154,1461,1197,183,0,79
1735722597,1458,1222,145,0,88
1735726164,1440,1234,140,0,60
1735729604,1402,1234,120,0,46
1735733827,1383,1211,115,0,53
1735737267,1318,1167,110,0,53
1735740469,1303,1156,101,0,44
1735744159,1282,1111,109,0,63
1735747849,1272,1093,130,0,49
1735751241,1280,1094,137,0,48
1735755114,1369,1184,127,0,58
1735758379,1390,1214,117,0,57
1735762191,1415,1246,110,0,60
1735765700,1430,1248,111,0,68
1735769267,1446,1279,113,0,52
1735772894,1464,1272,117,0,73
1735778697,1477,1253,116,0,104
1735783781,1488,1300,118,0,68
1735787590,1493,1295,119,0,77
1735791095,1491,1297,118,0,72
1735794544,1493,1306,120,0,63
1735798412,1478,1283,121,0,69
1735801736,1456,1255,125,0,71
1735805546,1428,1217,143,0,64
1735808994,1419,1236,112,0,66
1735812569,1369,1207,87,0,70
1735816018,1335,1201,83,0,50
1735820255,1305,1162,90,0,52
1735823705,1283,1132,109,0,41
1735826912,1220,1097,103,0,23
1735830542,1188,1059,101,0,30
1735834294,1118,1002,96,0,23
1735837680,1150,1008,113,0,30
1735841553,1219,1061,128,0,33
1735844819,1282,1124,120,0,39
1735848571,1323,1159,118,0,40
1735852080,1357,1182,120,0,49
1735855709,1361,1189,123,0,47
1735859337,1394,1209,125,0,58
1735865140,1417,1227,130,0,62
1735870277,1429,1236,134,0,60
1735874085,1430,1236,139,0,56
1735877471,1439,1237,138,0,64
1735880976,1436,1251,139,0,45
1735884782,1427,1231,141,0,55
1735888106,1382,1104,222,0,54
1735891917,1353,1103,191,0,61
1735895365,1326,1124,154,0,48
1735898995,1267,1098,117,0,51
1735902445,1228,1088,98,0,40
1735906621,1210,1081,81,0,44
1735910127,1176,1046,79,0,51
1735913275,1170,1055,69,0,45
1735916966,1173,1029,93,0,50
1735920658,1158,1010,104,0,43
1735924048,1209,1049,119,0,38
1735927919,1246,1083,120,0,45
1735931187,1295,1138,102,0,50
1735934998,1334,1195,89,0,48
1735938447,1341,1179,95,0,64
1735942075,1342,1187,97,0,56
1735945763,1366,1208,94,0,63
1735951445,1387,1212,96,0,77
1735956462,1409,1252,99,0,56
1735960330,1420,1241,103,0,70
1735963835,1425,1257,104,0,58
1735967279,1424,1251,106,0,66
1735971145,1412,1239,107,0,65
1735974469,1413,1233,110,0,67
1735978277,1388,1170,164,0,51
1735981724,1308,1111,136,0,59
1735985354,1291,1102,124,0,64
1735988804,1259,1110,106,0,41
1735992976,1252,1106,109,0,35
1735996420,1210,1056,109,0,43
1735999624,1185,1027,120,0,37
1736003248,1186,1019,121,0,45
1736006994,1220,1050,125,0,44
1736010439,1190,1015,133,0,44
1736014305,1233,1049,139,0,45
1736017568,1248,1074,134,0,42
1736021314,1300,1114,133,0,52
1736024819,1323,1120,138,0,67
1736028444,1340,1145,135,0,61
1736032069,1330,1130,142,0,57
1736038293,1369,1136,152,0,78
1736043430,1400,1189,155,0,58
1736047055,1408,1187,158,0,65
1736050256,1412,1199,158,0,57
1736053699,1419,1200,160,0,61
1736057565,1408,1183,162,0,66
1736060887,1409,1182,163,0,67
1736064633,1395,1179,163,0,56
1736068137,1350,1114,166,0,72
1736071700,1302,1068,178,0,58
1736075206,1278,1033,184,0,64
1736079375,1248,989,197,0,62
1736082759,1253,988,204,0,64
1736086022,1218,953,223,0,45
1736089647,1184,887,239,0,58
1736093394,1166,864,249,0,53
1736096839,1196,900,251,0,43
1736100645,1231,932,250,0,50
1736103973,1265,974,238,0,55
1736107725,1366,1067,243,0,57
1736111230,1362,1057,243,0,64
1736114855,1266,963,234,0,66
1736118481,1393,1079,238,0,72
1736124591,1420,1119,238,0,65
1736129726,1424,1124,239,0,62
1736133472,1426,1116,239,0,72
1736136735,1427,1123,240,0,65
1736140178,1423,1121,240,0,64
1736144046,1365,1062,244,0,60
1736147374,1369,1044,258,0,66
1736151182,1285,921,311,0,50
1736154626,1283,938,275,0,66
1736158195,1272,989,231,0,53
1736161645,1218,967,196,0,52
1736165882,1133,876,192,0,64
1736169450,1181,969,162,0,50
1736172533,1158,992,139,0,32
1736176161,1120,953,132,0,38
1736179847,1025,828,156,0,31
1736183292,1015,796,181,0,39
1736187157,1140,906,203,0,35
1736190418,1219,977,201,0,40
1736194103,1266,1029,196,0,42
1736197724,1265,1035,185,0,45
1736201283,1310,1082,184,0,49
1736204964,1337,1098,186,0,51
1736210817,1367,1122,186,0,61
1736215946,1369,1135,189,0,45
1736219748,1372,1125,189,0,58
1736223069,1376,1138,189,0,50
1736226569,1366,1133,190,0,45
1736230432,1316,1085,191,0,45
1736233752,1227,972,215,0,43
1736237557,1233,917,268,0,43
1736240996,1211,945,227,0,46
1736244600,1215,989,188,0,37
1736248052,1114,908,168,0,35
1736252286,1113,887,163,0,61
1736255854,1155,948,151,0,54
1736263048,1101,921,133,0,47
1736267219,977,798,138,0,38
1736269699,963,761,164,0,37
1736273568,1076,850,183,0,43
1736276835,1175,957,175,0,43
1736280585,1246,1031,166,0,49
1736284091,1226,1016,156,0,53
1736287717,1260,1062,153,0,44
1736291284,1309,1108,153,0,48
1736297204,1336,1121,156,0,58
1736302280,1340,1136,159,0,45
1736306025,1345,1125,161,0,59
1736309529,1345,1142,161,0,42
1736312973,1341,1130,161,0,50
1736316839,1282,1070,165,0,48
1736320107,1183,954,187,0,42
1736323980,1186,909,236,0,41
1736327370,1185,959,185,0,42
1736331000,1193,996,142,0,56
1736334449,1046,906,108,0,32
1736338682,1074,926,111,0,39
1736342184,1062,894,132,0,39
1736345321,1015,851,121,0,44
1736348943,1054,870,144,0,39
1736352688,996,792,153,0,46
1736356065,944,728,177,0,41
1736359928,1079,823,209,0,49
1736363246,1101,868,186,0,48
1736366987,1185,955,163,0,56
1736370485,1191,969,150,0,72
1736374107,1254,1039,151,0,66
1736377728,1283,1063,149,0,76
1736383583,1307,1063,152,0,97
1736390586,1331,1102,153,0,79
1736393482,1334,1108,154,0,71
1736395896,1339,1115,154,0,73
1736399396,1329,1107,154,0,71
1736403200,1270,1041,161,0,73
1736406520,1179,930,181,0,73
1736410323,1176,871,236,0,71
1736413761,1165,915,179,0,62
1736417402,1157,958,147,0,53
1736420849,1067,887,121,0,50
1736425079,1047,884,119,0,48
1736428614,1135,978,113,0,50
1736431696,1134,993,101,0,39
1736435381,1069,935,99,0,34
1736439070,940,798,109,0,34
1736442512,930,767,128,0,36
1736446371,1043,836,163,0,37
1736449631,1139,924,166,0,46
1736453433,1188,986,153,0,49
1736456872,1219,1021,150,0,56
1736460492,1211,1015,151,0,49
1736464112,1271,1067,145,0,59
1736470085,1313,1110,145,0,58
1736475213,1319,1115,147,0,57
1736479014,1323,1115,148,0,62
1736482272,1322,1124,148,0,51
1736485777,1312,1110,150,0,53
1736489641,1274,1067,151,0,55
1736492902,1184,947,180,0,57
1736496764,1169,888,225,0,57
1736500206,1151,928,173,0,52
1736503827,1124,946,139,0,41
1736507273,1021,883,100,0,41
1736511439,1022,860,117,0,44
1736514937,1084,914,121,0,49
