date,stations_nb,ready,renting,returning,not_installed,not_renting,not_returning
1717202399,186,151,153,176,0,33,2
1717206959,186,148,149,178,0,37,1
1717208905,186,149,149,178,0,37,0
1717211396,186,151,151,179,0,35,0
1717214980,186,147,148,178,0,38,1
1717218476,186,151,152,178,0,34,1
1717222186,186,160,161,179,0,25,1
1717225591,186,161,161,181,0,25,0
1717229368,186,161,162,182,0,24,1
1717232994,186,145,146,182,0,40,1
1717236486,186,148,149,182,0,37,1
1717240111,186,153,153,181,0,33,0
1717243984,186,144,144,179,0,42,0
1717247217,186,139,139,178,0,47,0
1717250852,186,133,135,174,0,51,2
1717254425,186,134,134,177,0,52,0
1717258094,186,148,148,180,0,38,0
1717261620,186,153,153,182,0,33,0
1717265353,186,147,148,183,0,38,1
1717268869,186,155,155,182,0,31,0
1717272447,186,159,160,180,0,26,1
1717276070,186,151,153,181,0,33,2
1717279600,186,162,164,184,0,22,2
1717283282,186,160,161,181,0,25,1
1717288800,186,151,153,178,0,33,2
1717293393,186,161,161,178,0,25,0
1717295321,186,156,158,177,0,28,2
1717297771,186,156,157,177,0,29,1
1717301355,186,155,155,178,0,31,0
1717304847,186,158,159,179,0,27,1
1717308674,186,161,161,178,0,25,0
1717312074,186,156,156,178,0,30,0
1717315722,186,153,154,178,0,32,1
1717319317,186,141,143,177,0,43,2
1717322858,186,139,140,178,0,46,1
1717326393,186,141,141,179,0,45,0
1717330387,186,129,129,177,0,57,0
1717333622,186,117,117,177,0,69,0
1717337168,186,131,132,180,0,54,1
1717340803,186,158,159,184,0,27,1
1717344525,186,159,160,182,0,26,1
1717348002,186,158,158,182,0,28,0
1717351806,186,154,154,181,0,32,0
1717355121,186,155,155,180,0,31,0
1717358862,186,160,160,182,0,26,0
1717362450,186,160,162,179,0,24,2
1717366004,186,163,165,180,0,21,2
1717369646,186,158,159,181,0,27,1
1717375083,186,156,157,181,0,29,1
1717379666,186,156,157,180,0,29,1
1717381550,186,156,157,180,0,29,1
1717384189,186,157,158,180,0,28,1
1717387927,186,157,158,180,0,28,1
1717391358,186,164,167,179,0,19,3
1717395070,186,148,148,181,0,38,0
1717398484,186,136,137,179,0,49,1
1717402292,186,141,141,178,0,45,0
1717405732,186,146,146,180,0,40,0
1717409426,186,147,147,182,0,39,0
1717412800,186,143,143,183,0,43,0
1717416889,186,144,146,179,0,40,2
1717420189,186,136,136,180,0,50,0
1717423664,186,148,149,179,0,37,1
1717427329,186,151,151,182,0,35,0
1717431025,186,145,146,182,0,40,1
1717434475,186,143,143,183,0,43,0
1717438260,186,152,153,183,0,33,1
1717441641,186,161,162,185,0,24,1
1717445293,186,155,155,186,0,31,0
1717448882,186,148,149,185,0,37,1
1717452466,186,147,148,182,0,38,1
1717456079,186,144,145,181,0,41,1
1717461425,186,150,152,179,0,34,2
1717465982,186,152,155,178,0,31,3
1717467894,186,148,149,178,0,37,1
1717470597,186,146,147,179,0,39,1
1717474179,186,148,151,178,0,35,3
