date,bikes_nb,for_rent,disabled,reserved,no_station
1685580749,383,317,0,0,65
1685587494,435,350,0,0,80
1685589960,447,366,0,0,73
1685592561,449,371,0,0,72
1685595991,438,365,0,0,67
1685599765,395,301,0,0,91
1685603239,387,285,0,0,97
1685606945,437,344,0,0,90
1685610426,461,370,0,0,84
1685614142,408,332,0,0,69
1685617539,413,356,0,0,55
1685621625,419,363,0,0,52
1685625040,365,303,0,0,57
1685628393,353,292,0,0,60
1685631988,304,248,0,0,50
1685635702,390,336,0,0,52
1685639161,308,264,0,0,39
1685642830,331,281,0,0,47
1685646298,320,271,0,0,39
1685650017,335,298,0,0,33
1685653551,332,291,0,0,37
1685657176,375,321,0,0,50
1685660843,393,335,0,0,54
1685666524,435,372,0,0,60
1685672250,492,404,0,0,82
1685675296,500,415,0,0,83
1685678888,496,416,0,0,78
1685682361,483,414,0,0,72
1685686137,449,348,0,0,99
1685689583,433,332,0,0,98
1685693323,460,369,0,0,91
1685696795,463,370,0,0,92
1685700435,419,348,0,0,70
1685703922,435,380,0,0,57
1685707942,426,354,0,0,72
1685711658,368,301,0,0,66
1685714764,367,303,0,0,61
1685718393,298,246,0,0,48
1685722074,269,214,0,0,52
1685725545,222,176,0,0,47
1685729294,206,170,0,0,34
1685732673,187,157,0,0,31
1685736420,165,137,0,0,26
1685739921,179,152,0,0,27
1685743566,194,156,0,0,37
1685747231,190,153,0,0,34
1685752883,228,188,0,0,38
1685758373,283,230,0,0,47
1685761607,301,251,0,0,45
1685765261,309,255,0,0,48
1685768734,314,261,0,0,50
1685772493,339,290,0,0,46
1685775968,356,299,0,0,54
1685779687,307,255,0,0,48
1685783169,305,257,0,0,46
1685786764,278,238,0,0,43
1685790282,300,255,0,0,42
1685794317,287,241,0,0,43
1685797642,298,263,0,0,34
1685801078,251,210,0,0,39
1685804733,182,131,0,0,41
1685808503,139,102,0,0,37
1685811860,120,86,0,0,33
1685815669,108,76,0,0,31
1685819048,121,93,0,0,29
1685822825,100,69,0,0,35
1685826328,104,74,0,0,28
1685829951,129,95,0,0,32
1685833592,160,121,0,0,39
1685839739,222,177,0,0,42
1685846399,318,247,0,0,62
1685848896,330,261,0,0,59
1685851636,334,262,0,0,58
1685855168,330,259,0,0,58
1685858885,348,278,0,0,57
1685862356,340,269,0,0,59
1685866073,332,266,0,0,57
1685869647,286,243,0,0,40
1685873200,263,218,0,0,45
1685876672,305,260,0,0,48
1685880693,362,312,0,0,48
1685884041,323,267,0,0,52
1685887512,298,239,0,0,56
1685891169,271,217,0,0,50
1685894878,222,171,0,0,54
1685898296,207,156,0,0,52
1685902074,281,225,0,0,55
1685905461,259,205,0,0,54
1685909176,254,204,0,0,50
1685912765,263,216,0,0,45
1685916328,319,265,0,0,45
1685919983,339,277,0,0,54
1685925745,415,348,0,0,55
1685931555,446,369,0,0,70
1685934600,476,408,0,0,58
1685938107,479,412,0,0,57
1685941603,464,400,0,0,57
1685945379,410,340,0,0,62
1685948827,371,287,0,0,79
1685952567,405,320,0,0,79
1685956027,435,363,0,0,59
1685959632,415,343,0,0,62
1685963159,442,338,0,0,84
1685967245,417,320,0,0,87
1685970656,412,317,0,0,87
1685973996,417,322,0,0,79
1685977599,324,251,0,0,66
1685981315,236,171,0,0,61
1685984726,241,176,0,0,62
1685988502,232,162,0,0,62
1685991914,277,197,0,0,74
1685995630,290,210,0,0,74
1685999127,299,227,0,0,66
1686002787,310,236,0,0,65
1686006386,365,292,0,0,65
1686012183,416,335,0,0,68
1686018104,451,356,0,0,84
1686021208,457,366,0,0,81
1686024452,450,358,0,0,80
1686028003,461,369,0,0,81
1686031735,404,307,0,0,79
1686035208,408,314,0,0,85
1686038919,424,333,0,0,82
1686042398,422,339,0,0,75
1686046001,374,302,0,0,67
1686049538,351,281,0,0,60
1686053576,346,256,0,0,87
1686057053,329,246,0,0,74
1686060387,331,244,0,0,65
1686064002,261,184,0,0,60
1686067713,163,114,0,0,49
1686071157,159,114,0,0,47
1686074874,159,115,0,0,41
1686078240,154,106,0,0,46
1686082023,167,129,0,0,37
1686085621,175,127,0,0,47
1686089165,188,138,0,0,49
1686092772,222,165,0,0,48
1686098660,281,208,0,0,65
1686104495,351,259,0,0,80
1686107544,365,282,0,0,70
1686110884,367,286,0,0,68
1686114383,355,281,0,0,61
1686118140,312,235,0,0,63
1686121578,332,259,0,0,65
1686125348,364,290,0,0,68
1686128814,351,294,0,0,52
1686132444,348,287,0,0,56
1686135925,330,274,0,0,48
1686140001,322,257,0,0,59
1686143460,290,228,0,0,58
1686146764,250,181,0,0,61
1686150387,214,155,0,0,59
1686154122,181,111,0,0,63
1686157531,156,97,0,0,54
1686161297,143,88,0,0,51
1686164747,125,73,0,0,48
1686168430,168,98,0,0,61
1686171947,203,126,0,0,67
1686175582,232,162,0,0,66
1686179177,287,220,0,0,61
1686184962,345,274,0,0,66
1686190834,388,296,0,0,84
1686193928,405,316,0,0,81
1686197300,401,319,0,0,76
1686200788,408,331,0,0,71
1686204529,365,298,0,0,60
1686207977,336,276,0,0,56
1686211713,368,312,0,0,55
1686215212,373,310,0,0,61
1686218827,323,264,0,0,56
1686222352,381,300,0,0,74
1686226340,344,267,0,0,74
1686229777,338,267,0,0,69
1686233160,318,248,0,0,64
1686236784,254,191,0,0,55
1686240516,180,124,0,0,51
1686243983,154,111,0,0,42
1686247669,188,137,0,0,46
1686251086,179,139,0,0,38
1686254829,181,143,0,0,33
1686258426,205,163,0,0,42
1686261952,210,167,0,0,43
1686265624,241,192,0,0,47
1686271493,273,221,0,0,51
1686277293,313,243,0,0,67
1686280484,320,256,0,0,62
1686283698,314,255,0,0,57
1686287195,320,254,0,0,64
1686290968,298,244,0,0,50
1686294419,289,233,0,0,52
1686298116,342,281,0,0,53
1686301613,361,310,0,0,47
1686305215,333,283,0,0,49
1686308741,328,263,0,0,58
1686312781,355,281,0,0,69
1686316178,356,281,0,0,71
1686319544,309,227,0,0,78
1686323168,293,221,0,0,69
1686326894,283,209,0,0,70
1686330375,250,195,0,0,58
1686334084,267,212,0,0,51
1686337468,257,197,0,0,49
1686341217,243,201,0,0,40
1686344747,257,210,0,0,43
1686348363,276,215,0,0,57
1686351983,279,220,0,0,54
1686357590,299,237,0,0,55
1686363034,343,260,0,0,74
1686366390,357,279,0,0,70
1686370059,361,285,0,0,68
1686373583,431,332,0,0,83
1686377308,429,330,0,0,82
1686380746,398,300,0,0,85
1686384483,388,300,0,0,76
1686387983,364,279,0,0,70
1686391572,359,284,0,0,65
1686395068,311,244,0,0,60
1686399074,311,253,0,0,55
