date,bikes_nb,for_rent,disabled,reserved,no_station
1767229505,2409,1891,191,0,326
1767238873,2412,1841,232,0,337
1767242336,2448,1895,238,0,314
1767244766,2466,1896,243,0,325
1767248360,2498,1924,241,0,331
1767251706,2511,1947,244,0,318
1767255425,2516,1939,235,0,339
1767258956,2500,1942,214,0,341
1767262366,2480,1952,208,0,317
1767265836,2436,1875,204,0,355
1767270228,2422,1854,210,0,358
1767274066,2390,1855,207,0,328
1767276620,2387,1862,202,0,326
1767280332,2364,1830,202,0,332
1767284051,2322,1800,222,0,299
1767287463,2378,1818,239,0,317
1767291425,2435,1885,230,0,317
1767294591,2449,1921,215,0,312
1767298370,2481,1936,203,0,335
1767301815,2492,1954,205,0,326
1767305476,2512,1956,203,0,347
1767309067,2533,1959,208,0,361
1767315585,2544,2018,206,0,314
1767322717,2559,1992,218,0,342
1767326549,2554,2023,223,0,301
1767331051,2553,2015,228,0,303
1767334762,2538,1992,233,0,306
1767338173,2508,1980,229,0,292
1767341831,2500,1985,218,0,290
1767345303,2448,1938,205,0,298
1767348714,2414,1918,204,0,285
1767352245,2392,1866,210,0,309
1767356564,2360,1840,224,0,290
1767360340,2365,1883,209,0,267
1767363142,2332,1825,205,0,297
1767366733,2284,1767,237,0,277
1767370448,2337,1814,258,0,261
1767373792,2343,1803,269,0,267
1767377805,2380,1845,277,0,255
1767380849,2432,1901,259,0,266
1767384746,2464,1939,245,0,274
1767388156,2483,1985,214,0,280
1767391871,2483,1983,207,0,290
1767395446,2502,1960,202,0,334
1767401720,2533,2052,210,0,264
1767408300,2533,2008,226,0,290
1767412195,2530,2013,231,0,275
1767414205,2538,2035,231,0,262
1767417126,2534,2026,236,0,264
1767421080,2525,1994,239,0,281
1767424304,2519,1992,245,0,270
1767428079,2502,1973,242,0,276
1767431489,2493,1979,218,0,284
1767435078,2434,1951,210,0,262
1767438540,2389,1891,203,0,285
1767442862,2367,1884,214,0,258
1767446574,2369,1883,219,0,253
1767449438,2375,1876,213,0,277
1767453028,2399,1910,209,0,267
1767456738,2386,1894,238,0,245
1767460148,2391,1883,240,0,261
1767464165,2411,1889,247,0,265
1767467272,2433,1913,236,0,276
1767471167,2474,1927,225,0,313
1767474549,2498,1971,222,0,293
1767478215,2487,1971,214,0,292
1767481862,2478,1943,204,0,323
1767488741,2504,2018,211,0,267
1767498113,2526,2046,218,0,254
1767501642,2540,2044,223,0,265
1767503891,2540,2038,225,0,269
1767507482,2541,2037,230,0,266
1767510829,2528,2032,235,0,253
1767514538,2500,1969,249,0,276
1767517885,2489,1965,242,0,273
1767521467,2433,1909,249,0,265
1767524938,2412,1869,252,0,282
1767529255,2390,1850,274,0,260
1767533029,2339,1796,285,0,253
1767535825,2336,1749,305,0,276
1767539409,2319,1726,325,0,262
1767543185,2210,1607,347,0,250
1767546585,2323,1702,369,0,246
1767550548,2400,1783,372,0,235
1767553711,2426,1814,356,0,245
1767557547,2460,1858,345,0,244
1767561018,2496,1903,326,0,254
1767564616,2507,1907,325,0,262
1767568211,2518,1862,323,0,321
1767575086,2529,1941,328,0,248
1767584762,2528,1934,341,0,241
1767588534,2523,1913,349,0,249
1767590902,2517,1915,354,0,236
1767594311,2436,1821,361,0,243
1767597649,2346,1701,390,0,237
1767601190,2398,1724,404,0,252
1767604902,2441,1792,365,0,263
1767608070,2424,1817,331,0,258
1767611478,2367,1754,312,0,282
1767615929,2422,1824,305,0,273
1767620006,2451,1877,309,0,245
1767622504,2403,1837,293,0,261
1767626052,2335,1810,260,0,252
1767629784,2267,1731,283,0,253
1767633253,2244,1709,293,0,244
1767637150,2343,1793,303,0,249
1767640376,2395,1851,294,0,246
1767644035,2449,1890,288,0,266
1767647493,2441,1920,269,0,251
1767651078,2481,1932,268,0,276
1767654667,2487,1903,262,0,317
1767661118,2507,1974,272,0,256
1767668210,2510,1970,278,0,257
1767671925,2511,1980,280,0,246
1767674419,2502,1971,284,0,242
1767676551,2502,1961,289,0,247
1767680401,2433,1886,308,0,242
1767683905,2367,1730,397,0,226
1767687430,2354,1697,413,0,224
1767691025,2412,1788,370,0,239
1767694390,2363,1755,308,0,279
1767697877,2331,1713,325,0,273
1767702315,2339,1718,326,0,278
1767706215,2369,1772,318,0,264
1767708836,2348,1747,314,0,279
1767712372,2273,1715,296,0,254
1767716140,2231,1680,309,0,245
1767719729,2246,1661,349,0,239
1767723443,2309,1719,359,0,235
1767726547,2367,1768,370,0,232
1767730386,2402,1806,355,0,245
1767733859,2391,1828,336,0,230
1767737519,2399,1840,312,0,248
1767741110,2442,1854,296,0,294
1767747590,2482,1960,287,0,236
1767756050,2496,1965,295,0,233
1767760316,2484,1963,287,0,231
1767763057,2485,1962,293,0,227
1767766770,2415,1874,320,0,218
1767770239,2349,1744,378,0,218
1767773829,2331,1736,368,0,214
1767777542,2351,1779,343,0,218
1767780834,2350,1801,321,0,219
1767784298,2277,1728,303,0,248
1767788738,2306,1765,284,0,238
1767792757,2320,1789,277,0,244
1767795310,2316,1770,267,0,278
1767798903,2261,1763,262,0,236
1767802682,2216,1716,287,0,216
1767806277,2210,1689,312,0,210
1767809930,2264,1740,314,0,204
1767813213,2317,1788,322,0,201
1767816813,2371,1844,308,0,210
1767820284,2356,1835,298,0,215
1767823879,2383,1846,293,0,237
1767827470,2423,1861,288,0,265
1767833932,2438,1922,298,0,216
1767841012,2463,1935,270,0,246
1767844792,2462,1961,261,0,228
1767849419,2455,1968,251,0,224
1767853152,2396,1871,304,0,217
1767856577,2298,1703,343,0,225
