date,bikes_nb,for_rent,disabled,reserved,no_station
1696120675,348,266,0,0,81
1696125160,373,292,0,0,76
1696126839,408,323,0,0,82
1696129617,409,332,0,0,70
1696133278,411,340,0,0,65
1696136789,405,333,0,0,62
1696140513,415,342,0,0,66
1696143963,431,356,0,0,66
1696147698,431,355,0,0,70
1696151188,514,432,0,0,71
1696154812,443,366,0,0,72
1696158279,417,340,0,0,73
1696162294,413,336,0,0,71
1696165593,420,346,0,0,70
1696169139,376,305,0,0,66
1696172751,354,273,0,0,72
1696176431,347,265,0,0,76
1696179913,328,250,0,0,74
1696183665,334,244,0,0,83
1696187063,374,278,0,0,85
1696190793,362,271,0,0,85
1696194334,368,279,0,0,82
1696197938,373,297,0,0,68
1696201570,375,306,0,0,62
1696206814,384,319,0,0,59
1696210933,431,366,0,0,55
1696212918,487,409,0,0,70
1696216031,509,444,0,0,58
1696219688,522,456,0,0,56
1696223193,518,453,0,0,53
1696226967,441,384,0,0,48
1696230416,439,378,0,0,51
1696234167,473,406,0,0,50
1696237669,482,421,0,0,50
1696241250,395,335,0,0,50
1696244743,408,348,0,0,51
1696248796,417,354,0,0,53
1696252199,395,327,0,0,59
1696255584,407,339,0,0,59
1696259236,320,251,0,0,64
1696262908,302,228,0,0,70
1696266387,369,288,0,0,75
1696270145,392,306,0,0,79
1696273516,436,339,0,0,84
1696277223,456,355,0,0,90
1696280770,458,369,0,0,79
1696284377,476,390,0,0,77
1696288009,490,418,0,0,69
1696293202,486,420,0,0,62
1696297322,504,445,0,0,54
1696299306,544,488,0,0,54
1696302450,560,505,0,0,51
1696306083,561,504,0,0,47
1696309596,535,478,0,0,47
1696313373,453,403,0,0,47
1696316792,489,434,0,0,46
1696320559,502,450,0,0,45
1696324013,509,455,0,0,47
1696327662,432,371,0,0,54
1696331151,433,368,0,0,51
1696335210,462,407,0,0,50
1696338630,502,441,0,0,49
1696341998,445,392,0,0,50
1696345650,391,335,0,0,53
1696349352,361,289,0,0,62
1696352777,417,335,0,0,65
1696356556,404,325,0,0,67
1696359923,456,376,0,0,67
1696363631,455,375,0,0,66
1696367174,451,381,0,0,61
1696370778,469,401,0,0,59
1696374377,494,428,0,0,58
1696379622,513,457,0,0,50
1696383771,551,496,0,0,42
1696385784,585,531,0,0,41
1696388835,598,553,0,0,32
1696392498,612,568,0,0,31
1696396011,601,558,0,0,31
1696399784,511,469,0,0,31
1696403194,523,476,0,0,34
1696406994,554,509,0,0,26
1696410423,561,515,0,0,24
1696414039,449,414,0,0,27
1696417547,448,407,0,0,30
1696421618,457,409,0,0,41
1696425066,455,390,0,0,53
1696428404,445,373,0,0,61
1696432049,391,316,0,0,64
1696435756,373,292,0,0,66
1696439176,407,315,0,0,75
1696442965,461,368,0,0,84
1696446309,459,366,0,0,88
1696450042,454,361,0,0,86
1696453648,470,385,0,0,76
1696457166,475,404,0,0,63
1696460833,485,422,0,0,58
1696465991,519,453,0,0,60
1696470262,537,472,0,0,57
1696472248,586,514,0,0,59
1696475238,607,541,0,0,51
1696478912,607,552,0,0,43
1696482397,590,533,0,0,40
1696486176,512,467,0,0,33
1696489600,498,457,0,0,33
1696493378,540,489,0,0,33
1696496841,553,507,0,0,36
1696500480,470,411,0,0,50
1696503960,458,408,0,0,44
1696508022,454,401,0,0,45
1696511508,443,381,0,0,48
1696514807,434,365,0,0,53
1696518435,342,272,0,0,57
1696522138,295,227,0,0,57
1696525596,313,243,0,0,62
1696529348,313,244,0,0,61
1696532715,357,278,0,0,70
1696536415,345,261,0,0,75
1696539955,357,282,0,0,69
1696543557,376,297,0,0,67
1696547218,395,316,0,0,64
1696552382,415,338,0,0,69
1696556501,434,351,0,0,73
1696558499,476,378,0,0,86
1696561637,486,394,0,0,81
1696565301,497,408,0,0,74
1696568785,515,425,0,0,78
1696572587,474,392,0,0,68
1696575993,480,413,0,0,59
1696579763,438,371,0,0,62
1696583219,426,372,0,0,42
1696586870,366,322,0,0,39
1696590361,346,293,0,0,44
1696594395,365,311,0,0,43
1696597799,355,299,0,0,44
1696601206,375,310,0,0,52
1696604833,304,242,0,0,58
1696608524,318,246,0,0,71
1696611982,283,212,0,0,70
1696615736,335,254,0,0,74
1696619089,345,256,0,0,83
1696622818,356,270,0,0,83
1696626335,377,292,0,0,80
1696629973,365,287,0,0,74
1696633576,393,314,0,0,75
1696638759,414,339,0,0,73
1696642781,421,338,0,0,81
1696644796,460,374,0,0,79
1696648029,466,388,0,0,71
1696651688,472,390,0,0,71
1696655165,470,392,0,0,71
1696658918,492,411,0,0,68
1696662339,455,384,0,0,65
1696666098,396,327,0,0,61
1696669555,388,316,0,0,67
1696673190,341,275,0,0,61
1696676703,335,272,0,0,60
1696680674,349,283,0,0,64
1696683989,379,311,0,0,65
1696687515,343,273,0,0,62
1696691130,310,246,0,0,59
1696694840,276,216,0,0,57
1696698306,237,171,0,0,60
1696702078,261,192,0,0,65
1696705454,289,215,0,0,71
1696709177,293,217,0,0,68
1696712685,277,201,0,0,69
1696716377,271,198,0,0,67
1696719973,258,186,0,0,69
1696725339,273,209,0,0,62
1696729545,301,238,0,0,59
1696731405,337,259,0,0,69
1696734422,353,279,0,0,65
1696738076,374,294,0,0,66
1696741582,376,305,0,0,64
1696745302,403,324,0,0,69
1696748750,372,304,0,0,61
1696752474,358,300,0,0,57
1696755931,317,257,0,0,59
1696759591,272,212,0,0,58
1696763069,316,251,0,0,64
1696767089,341,275,0,0,62
1696770402,321,252,0,0,68
1696773873,307,240,0,0,64
1696777586,266,196,0,0,65
1696781235,260,186,0,0,69
1696784697,260,184,0,0,63
1696788492,236,161,0,0,69
1696791888,269,196,0,0,68
1696795612,275,199,0,0,70
1696799118,279,209,0,0,68
1696802749,314,248,0,0,65
1696806376,333,268,0,0,63
1696811619,352,296,0,0,53
1696815701,353,299,0,0,51
1696817714,376,323,0,0,51
1696820822,375,324,0,0,48
1696824513,378,326,0,0,49
1696827990,354,303,0,0,48
1696831788,313,255,0,0,45
1696835225,351,299,0,0,50
1696838989,408,354,0,0,49
1696842481,392,343,0,0,48
1696846085,349,290,0,0,54
1696849576,357,287,0,0,53
1696853644,364,297,0,0,55
1696857139,374,309,0,0,57
1696860437,339,282,0,0,53
1696864040,310,255,0,0,51
1696867760,274,218,0,0,53
1696871163,315,250,0,0,61
1696874959,358,278,0,0,69
1696878290,389,307,0,0,72
1696881957,409,328,0,0,73
1696885563,418,337,0,0,74
1696889162,419,342,0,0,69
,0,,0,0,0
1696898180,402,331,0,0,65
1696902051,404,334,0,0,65
1696904090,424,353,0,0,67
1696907229,420,349,0,0,67
1696910884,412,339,0,0,71
1696914390,403,329,0,0,70
1696918194,338,280,0,0,49
1696921603,344,289,0,0,46
1696925372,374,316,0,0,50
1696928837,382,325,0,0,49
1696932482,394,322,0,0,55
1696935936,390,308,0,0,65
1696939976,358,272,0,0,71
1696943415,342,263,0,0,67
1696946796,316,224,0,0,84
1696950425,255,172,0,0,81
1696954148,221,142,0,0,74
1696957591,230,147,0,0,80
1696961348,247,172,0,0,76
1696964679,254,174,0,0,77
1696968370,260,182,0,0,76
1696971971,268,182,0,0,84
1696975572,276,192,0,0,82
1696979197,290,214,0,0,71
1696984371,312,241,0,0,68
1696988456,328,251,0,0,74
1696990483,329,260,0,0,67
1696993659,345,267,0,0,73
1696997291,354,276,0,0,74
1697000800,365,283,0,0,80
1697004595,311,229,0,0,74
1697007998,292,219,0,0,71
1697011766,386,290,0,0,93
1697015230,451,310,0,0,127
1697018880,377,265,0,0,105
1697022336,356,252,0,0,96
1697026405,354,268,0,0,80
1697029836,396,311,0,0,78
1697033214,419,335,0,0,73
1697036774,397,313,0,0,73
1697040530,297,224,0,0,61
1697043977,300,226,0,0,58
1697047746,336,266,0,0,60
1697051140,381,307,0,0,64
1697054834,379,299,0,0,66
1697058376,408,329,0,0,72
1697061978,404,342,0,0,59
1697065608,438,378,0,0,55
1697070667,461,398,0,0,59
1697074753,468,409,0,0,53
1697076798,493,423,0,0,56
1697080028,503,440,0,0,51
1697083688,501,443,0,0,49
1697087195,498,439,0,0,47
1697090975,431,374,0,0,45
1697094419,425,369,0,0,51
1697098158,450,394,0,0,48
1697101620,445,393,0,0,47
1697105263,440,380,0,0,57
1697108757,426,372,0,0,50
1697112793,461,393,0,0,56
1697116222,452,383,0,0,52
