date,bikes_nb,for_rent,disabled,reserved,no_station
1698798958,419,365,0,0,52
1698803264,435,385,0,0,46
1698805144,463,412,0,0,48
1698808054,459,405,0,0,47
1698811723,477,428,0,0,43
1698815208,473,420,0,0,46
1698818996,500,451,0,0,44
1698822425,488,441,0,0,40
1698826157,467,423,0,0,38
1698829617,463,422,0,0,35
1698833257,488,440,0,0,35
1698836743,438,383,0,0,40
1698840776,458,412,0,0,38
1698844112,431,379,0,0,45
1698847578,436,387,0,0,44
1698851198,447,387,0,0,45
1698854910,376,325,0,0,44
1698858353,429,372,0,0,51
1698862125,427,372,0,0,46
1698865529,430,366,0,0,49
1698869233,446,384,0,0,50
1698872752,461,390,0,0,57
1698876396,499,441,0,0,48
1698880007,514,460,0,0,45
1698885195,566,523,0,0,34
1698889287,581,543,0,0,32
1698891289,593,539,0,0,48
1698894472,594,541,0,0,45
1698898078,595,548,0,0,39
1698901595,593,546,0,0,39
1698905355,578,532,0,0,37
1698908783,516,476,0,0,34
1698912524,499,455,0,0,35
1698916017,501,459,0,0,37
1698919637,511,468,0,0,36
1698923136,477,433,0,0,43
1698927169,497,449,0,0,46
1698930535,499,448,0,0,48
1698933997,660,580,0,0,51
1698937609,647,567,0,0,50
1698941319,580,511,0,0,51
1698944789,527,457,0,0,55
1698948532,540,474,0,0,55
1698951907,570,506,0,0,56
1698955611,599,532,0,0,57
1698959192,609,540,0,0,58
1698962746,576,512,0,0,46
1698966387,599,541,0,0,46
1698971634,616,573,0,0,31
1698975727,626,585,0,0,30
1698977759,628,579,0,0,37
1698980851,621,576,0,0,36
1698984521,635,593,0,0,34
1698987979,631,588,0,0,34
1698991771,608,564,0,0,32
1698995202,577,531,0,0,34
1698998942,549,507,0,0,34
1699002405,590,552,0,0,31
1699006047,587,548,0,0,33
1699009561,543,500,0,0,36
1699013597,519,469,0,0,40
1699016997,515,464,0,0,42
1699020401,500,461,0,0,34
1699024050,487,441,0,0,42
1699027734,504,443,0,0,46
1699031180,472,420,0,0,42
1699034954,508,448,0,0,48
1699042067,509,467,0,0,37
1699045530,503,454,0,0,41
1699049176,517,471,0,0,39
1699052788,529,486,0,0,39
1699057976,542,499,0,0,38
1699062040,552,510,0,0,35
