date,stations_nb,ready,renting,returning,not_installed,not_renting,not_returning
1704069543,185,103,103,184,0,82,0
1704074152,185,101,101,184,0,84,0
1704076063,185,96,97,184,0,88,1
1704078521,185,101,101,184,0,84,0
1704082159,185,104,105,184,0,80,1
1704085647,185,103,104,184,0,81,1
1704089438,185,112,112,184,0,73,0
1704092834,185,125,125,184,0,60,0
1704096624,185,128,128,184,0,57,0
1704100051,185,124,124,184,0,61,0
1704103681,184,119,119,183,0,65,0
1704107167,184,117,117,183,0,67,0
1704111171,184,113,113,183,0,71,0
1704114510,184,108,108,183,0,76,0
1704118001,184,101,101,183,0,83,0
1704121616,184,95,96,183,0,88,1
1704125291,184,106,106,184,0,78,0
1704128785,184,110,110,183,0,74,0
1704132550,184,120,120,183,0,64,0
1704135919,184,122,122,183,0,62,0
1704139651,184,125,125,183,0,59,0
1704143170,184,115,115,183,0,69,0
1704146778,184,114,114,183,0,70,0
1704150418,184,114,114,183,0,70,0
1704155666,184,117,117,183,0,67,0
1704160094,184,120,120,183,0,64,0
1704162096,184,118,118,183,0,66,0
1704164856,184,120,120,183,0,64,0
1704168526,184,119,119,183,0,65,0
1704172014,184,123,123,183,0,61,0
1704175777,184,120,120,183,0,64,0
1704179206,184,125,125,183,0,59,0
1704182968,184,114,114,183,0,70,0
1704186430,184,111,111,183,0,73,0
1704190052,184,114,114,183,0,70,0
1704193557,184,121,121,183,0,63,0
1704197567,184,127,127,183,0,57,0
1704200937,184,118,118,183,0,66,0
1704204400,184,120,120,183,0,64,0
1704208046,184,112,112,184,0,72,0
1704211694,184,118,118,184,0,66,0
1704215194,184,118,118,184,0,66,0
1704218962,184,116,116,184,0,68,0
1704222332,184,125,125,184,0,59,0
1704226036,184,118,118,184,0,66,0
1704229584,184,124,124,184,0,60,0
1704233196,184,117,117,184,0,67,0
1704236838,184,103,103,184,0,81,0
1704242113,184,113,113,184,0,71,0
1704246389,184,114,114,184,0,70,0
1704248362,184,116,116,184,0,68,0
1704251275,184,122,122,184,0,62,0
1704254945,184,128,128,184,0,56,0
1704258433,184,131,131,184,0,53,0
1704262193,184,125,125,184,0,59,0
1704265622,184,125,125,184,0,59,0
1704269358,184,107,107,184,0,77,0
1704272847,184,109,109,184,0,75,0
1704276459,184,113,113,183,0,71,0
1704279973,184,111,112,183,0,72,1
1704283971,184,120,121,183,0,63,1
1704287331,184,105,106,183,0,78,1
1704290794,184,118,118,184,0,66,0
1704294413,184,119,119,184,0,65,0
1704298144,184,116,116,184,0,68,0
1704301602,184,113,113,184,0,71,0
1704305365,184,122,122,184,0,62,0
1704308734,184,125,125,184,0,59,0
1704312473,184,129,129,184,0,55,0
1704315983,184,123,123,184,0,61,0
1704319586,184,108,108,184,0,76,0
1704323251,184,107,107,184,0,77,0
1704328531,184,113,113,184,0,71,0
1704332775,184,116,116,184,0,68,0
1704334808,184,117,117,184,0,67,0
1704337689,184,115,115,184,0,69,0
1704341328,184,117,117,184,0,67,0
1704344846,184,120,120,184,0,64,0
1704348608,184,116,116,184,0,68,0
1704352005,184,111,111,184,0,73,0
1704355767,184,110,110,184,0,74,0
1704359227,184,108,108,184,0,76,0
1704362861,184,104,104,184,0,80,0
1704366360,184,111,111,183,0,73,0
1704370367,184,113,113,183,0,71,0
1704373735,184,104,104,183,0,80,0
1704377200,184,110,110,183,0,74,0
1704380873,184,105,105,183,0,79,0
1704384520,184,96,96,184,0,88,0
1704387985,184,110,111,183,0,73,1
1704391752,184,101,101,184,0,83,0
1704395121,184,110,110,184,0,74,0
1704398854,184,114,114,184,0,70,0
1704402401,184,113,113,184,0,71,0
1704406010,184,105,105,184,0,79,0
1704409620,184,107,107,184,0,77,0
1704414958,184,108,108,184,0,76,0
1704419323,184,106,106,184,0,78,0
1704421283,184,105,105,184,0,79,0
1704424074,184,112,112,184,0,72,0
1704427742,184,112,112,184,0,72,0
1704431229,184,112,112,184,0,72,0
1704434988,184,119,119,184,0,65,0
1704438414,184,122,122,184,0,62,0
1704442177,184,116,116,184,0,68,0
1704445635,184,124,124,184,0,60,0
1704449277,184,120,120,184,0,64,0
1704452781,184,125,125,184,0,59,0
1704456785,184,133,133,184,0,51,0
1704460154,184,128,128,184,0,56,0
1704463612,184,135,135,184,0,49,0
1704467253,184,136,136,184,0,48,0
1704470893,184,127,127,184,0,57,0
1704474384,184,126,126,184,0,58,0
1704478117,184,111,111,184,0,73,0
1704481545,184,124,124,184,0,60,0
1704485251,184,117,117,184,0,67,0
1704488770,184,116,116,184,0,68,0
1704492379,184,130,130,184,0,54,0
1704496017,184,125,125,184,0,59,0
1704501294,184,127,127,184,0,57,0
1704505478,184,124,124,184,0,60,0
1704507540,184,124,124,184,0,60,0
1704510450,184,120,120,184,0,64,0
1704514115,184,121,121,184,0,63,0
1704517574,184,121,121,184,0,63,0
1704521334,184,122,122,184,0,62,0
1704524761,184,126,126,184,0,58,0
1704528522,184,128,128,184,0,56,0
1704531980,184,124,124,184,0,60,0
1704535609,184,125,125,184,0,59,0
1704539121,184,126,126,184,0,58,0
1704543126,184,134,134,184,0,50,0
1704546493,184,130,130,184,0,54,0
1704549982,184,123,123,184,0,61,0
1704553594,184,110,110,183,0,74,0
1704557295,184,123,123,183,0,61,0
1704560757,184,121,121,183,0,63,0
1704564519,184,126,126,183,0,58,0
1704567886,184,126,126,183,0,58,0
1704571648,184,108,108,183,0,76,0
1704575167,184,124,124,183,0,60,0
1704578777,184,121,121,183,0,63,0
1704582385,184,118,118,183,0,66,0
1704587966,184,114,114,183,0,70,0
1704592545,184,120,120,183,0,64,0
1704594335,184,115,115,183,0,69,0
1704596853,184,114,114,183,0,70,0
1704600522,184,110,110,183,0,74,0
1704604008,184,110,110,183,0,74,0
1704607738,184,111,111,183,0,73,0
1704611168,184,110,110,183,0,74,0
1704614930,184,119,119,183,0,65,0
1704618388,184,126,126,183,0,58,0
1704622021,184,123,123,183,0,61,0
1704625560,184,121,121,183,0,63,0
1704629538,184,125,125,183,0,59,0
1704632876,184,114,114,183,0,70,0
1704636370,184,114,114,183,0,70,0
1704639989,184,110,110,183,0,74,0
1704643654,184,121,121,183,0,63,0
1704647137,184,117,117,183,0,67,0
1704650923,184,126,126,183,0,58,0
1704654342,184,126,126,183,0,58,0
1704658042,184,133,133,183,0,51,0
1704661553,184,125,125,183,0,59,0
1704665216,184,123,123,183,0,61,0
1704668817,184,127,127,183,0,57,0
1704674219,184,130,130,183,0,54,0
1704678674,184,132,132,183,0,52,0
1704680566,184,134,134,183,0,50,0
1704683311,184,133,133,183,0,51,0
1704686973,184,131,131,183,0,53,0
1704690479,184,125,125,183,0,59,0
1704694234,184,127,127,183,0,57,0
1704697628,184,116,116,181,0,68,0
1704701422,184,108,108,181,0,76,0
1704704877,184,116,116,181,0,68,0
1704708511,184,123,124,180,0,60,1
1704711977,184,132,133,181,0,51,1
1704715996,184,132,132,183,0,52,0
1704719393,184,138,138,182,0,46,0
1704722852,184,142,142,182,0,42,0
1704726437,184,152,152,183,0,32,0
1704730148,184,147,147,183,0,37,0
1704733610,184,142,142,183,0,42,0
1704737382,184,145,146,183,0,38,1
1704740747,184,140,141,182,0,43,1
1704744448,184,143,144,181,0,40,1
1704747964,184,147,147,181,0,37,0
1704751601,184,155,155,181,0,29,0
1704755241,184,147,147,181,0,37,0
1704760588,184,141,142,180,0,42,1
1704765075,184,141,142,180,0,42,1
1704766997,184,142,143,180,0,41,1
1704769696,184,145,146,180,0,38,1
1704773368,184,143,144,180,0,40,1
1704776825,184,143,144,180,0,40,1
1704780618,184,141,143,180,0,41,2
1704784082,184,129,129,180,0,55,0
1704787789,184,128,128,180,0,56,0
1704791253,184,133,134,179,0,50,1
1704794895,184,136,137,179,0,47,1
1704798386,184,128,129,181,0,55,1
1704802398,183,129,130,181,0,53,1
1704806228,183,133,134,179,0,49,1
1704809211,183,139,141,179,0,42,2
1704812860,183,133,134,181,0,49,1
1704816572,183,135,135,183,0,48,0
1704820015,183,137,137,183,0,46,0
1704823666,183,130,130,183,0,53,0
1704827162,183,136,137,182,0,46,1
1704830868,183,140,141,182,0,42,1
1704834389,183,145,145,182,0,38,0
1704837989,183,140,140,181,0,43,0
1704841626,183,133,133,181,0,50,0
1704846974,183,134,134,181,0,49,0
1704851494,183,135,135,181,0,48,0
1704853357,183,138,138,181,0,45,0
1704856076,183,137,137,181,0,46,0
1704859739,183,137,137,181,0,46,0
1704863219,183,140,140,181,0,43,0
1704867008,183,141,141,181,0,42,0
1704870430,183,142,143,182,0,40,1
1704874190,183,141,142,181,0,41,1
1704877647,183,142,143,181,0,40,1
1704881283,183,147,149,180,0,34,2
1704884772,183,138,139,182,0,44,1
1704888815,183,141,142,182,0,41,1
1704892189,183,143,143,183,0,40,0
1704895622,183,152,153,182,0,30,1
1704899240,183,148,149,182,0,34,1
1704902983,183,142,143,181,0,40,1
1704906422,183,138,139,181,0,44,1
1704910162,183,145,146,181,0,37,1
1704913537,183,141,142,181,0,41,1
1704917271,183,148,148,181,0,35,0
1704920792,183,134,135,180,0,48,1
1704924404,183,136,137,180,0,46,1
1704927986,183,135,135,181,0,48,0
1704933388,183,133,133,181,0,50,0
1704937910,183,132,132,181,0,51,0
1704939791,183,131,131,181,0,52,0
1704942491,183,133,133,181,0,50,0
1704946133,183,134,134,181,0,49,0
1704949650,183,134,134,181,0,49,0
1704953413,183,142,142,181,0,41,0
1704956813,183,138,138,179,0,45,0
1704960608,183,139,139,179,0,44,0
1704964039,183,139,140,178,0,43,1
1704967677,183,144,146,178,0,37,2
1704971177,183,151,151,178,0,32,0
1704975187,183,152,153,179,0,30,1
1704978591,183,149,149,180,0,34,0
1704982023,183,152,152,180,0,31,0
1704985641,183,151,151,180,0,32,0
1704989384,183,149,150,180,0,33,1
1704992793,183,134,134,180,0,49,0
1704996566,183,130,130,181,0,53,0
1704999941,183,140,140,181,0,43,0
1705003650,183,136,136,181,0,47,0
1705007203,183,145,145,181,0,38,0
