date,bikes_nb,for_rent,disabled,reserved,no_station
1751331769,1269,945,181,0,140
1751340220,1342,1014,188,0,135
1751344205,1313,1002,190,0,118
1751346923,1260,954,192,0,113
1751350607,1087,805,161,0,122
1751353933,1123,802,202,0,116
1751357737,1136,872,158,0,109
1751361241,1102,857,138,0,109
1751364750,1023,823,98,0,103
1751368199,1077,843,115,0,120
1751372490,1048,833,108,0,109
1751376420,1100,895,98,0,109
1751379023,1068,868,96,0,105
1751382713,953,750,104,0,99
1751386465,965,712,157,0,93
1751389792,937,672,179,0,86
1751393661,1055,765,196,0,94
1751396866,1051,749,182,0,101
1751400733,1064,772,197,0,91
1751404182,1127,826,201,0,99
1751407809,1226,925,198,0,103
1751411434,1261,956,206,0,98
1751417776,1348,1051,192,0,104
1751424300,1367,1069,190,0,104
1751427864,1369,1076,190,0,99
1751430098,1364,1076,191,0,93
1751433178,1311,1010,192,0,104
1751437044,1151,832,222,0,94
1751440310,1147,840,215,0,89
1751444119,1150,893,157,0,96
1751447625,1095,888,125,0,78
1751451131,1024,831,97,0,92
1751454578,1119,940,94,0,80
1751458870,1069,883,101,0,83
1751462740,1105,949,73,0,81
1751465459,1098,948,75,0,73
1751469090,991,815,88,0,86
1751472778,882,695,100,0,85
1751476219,988,777,137,0,73
1751480143,1045,808,156,0,77
1751483283,1018,798,149,0,69
1751487086,1004,766,155,0,81
1751490588,1057,822,155,0,75
1751494213,1166,929,154,0,83
1751497835,1260,1023,163,0,74
1751504174,1339,1082,161,0,93
1751510815,1350,1098,163,0,86
1751514377,1358,1109,164,0,82
1751516611,1355,1104,166,0,82
1751519689,1299,1032,171,0,94
1751523435,1131,922,110,0,98
1751526699,1118,865,146,0,105
1751530503,1166,922,134,0,107
1751533945,1144,924,115,0,105
1751537509,1114,906,103,0,104
1751540961,1126,912,108,1,104
1751545311,1124,909,100,0,114
1751549056,1112,890,107,0,114
1751551834,1093,895,108,0,90
1751555518,950,736,126,0,86
1751559204,902,679,141,0,82
1751562706,950,703,166,0,81
1751566513,1028,763,180,0,84
1751569652,1060,788,180,0,90
1751573456,997,736,181,0,79
1751576958,1070,781,195,0,92
1751580582,1185,901,196,0,87
1751584264,1246,954,203,0,88
1751590542,1321,1016,199,0,103
1751597061,1344,1038,203,0,101
1751600562,1341,1040,205,0,94
1751602855,1333,1029,207,0,96
1751605994,1313,1000,210,0,102
1751609798,1178,925,144,0,108
1751613121,1170,880,192,0,96
1751616926,1143,888,147,0,103
1751620308,1170,939,134,0,92
1751623932,1049,858,97,0,91
1751627380,1128,938,89,0,98
1751631668,1086,895,98,0,92
1751635475,1101,900,98,0,104
1751638195,1071,872,108,0,93
1751641819,981,740,127,0,105
1751645566,984,733,148,0,97
1751648950,995,724,170,0,96
1751652880,1025,714,198,0,111
1751656083,1061,766,195,0,101
1751659890,1061,758,202,0,101
1751663395,1096,779,198,0,119
1751667020,1136,830,201,0,105
1751670646,1193,892,197,0,104
1751676806,1299,992,194,0,111
1751683028,1334,1021,191,0,118
1751686771,1344,1040,187,0,110
1751688945,1355,1053,189,0,106
1751692206,1328,1013,193,0,115
1751696072,1289,999,166,0,115
1751699397,1221,957,145,0,108
1751703204,1162,923,97,0,124
1751706587,1125,910,81,0,111
1751710213,1074,867,71,0,112
1751713660,1048,854,84,0,110
1751717894,1109,889,93,0,125
1751721639,1084,860,105,0,116
1751724606,1079,847,118,0,108
1751728174,1101,858,127,0,113
1751731918,989,735,141,0,112
1751735300,969,709,152,0,108
1751739163,1008,717,176,0,113
1751742485,1099,810,179,0,110
1751746230,1167,851,199,0,117
1751749791,1161,836,197,0,123
1751753354,1157,833,197,0,119
1751756977,1226,877,216,0,125
1751763680,1287,940,216,0,120
1751772009,1356,999,219,0,127
1751775933,1365,1006,226,0,121
1751778709,1358,994,228,0,124
1751782511,1315,950,236,0,118
1751785772,1292,929,243,0,111
1751789575,1247,887,245,0,108
1751793016,1212,852,247,0,107
1751796641,1183,796,265,0,112
1751800149,1189,800,271,0,111
1751804316,1190,771,291,0,116
1751808060,1127,709,298,0,114
1751810959,1146,713,315,0,115
1751814583,1069,660,295,0,109
1751818267,1203,770,304,0,116
1751821708,1271,831,293,0,137
1751825636,1253,819,292,0,128
1751828898,1256,817,290,0,136
1751832643,1259,829,289,0,129
1751836146,1247,797,293,0,146
1751839828,1300,846,297,0,148
1751843390,1333,843,302,0,175
1751850032,1369,898,304,0,154
1751858303,1387,918,305,0,151
1751862408,1375,920,303,0,140
1751865246,1337,886,293,0,146
1751869050,1214,854,206,0,141
1751872432,1177,837,208,0,120
1751876178,1199,897,172,0,118
1751879621,1185,899,154,0,124
1751883305,1160,901,130,0,123
1751886566,1144,890,129,0,119
1751890916,1143,900,113,0,120
1751894785,1157,939,97,0,114
1751897504,1123,896,102,0,113
1751901009,1029,795,113,0,103
1751904818,937,685,128,0,111
1751908202,1030,761,149,0,105
1751912133,1115,843,152,0,108
