date,bikes_nb,for_rent,disabled,reserved,no_station
1780273695,2841,1713,814,0,313
1780278169,2859,1743,800,0,316
1780282962,2859,1761,803,0,295
1780291959,2699,1624,818,0,259
1780299478,2660,1515,832,0,301
1780307051,2596,1530,764,0,298
1780314868,2541,1527,733,0,271
1780321965,2509,1513,687,0,304
1780329534,2255,1223,763,0,269
1780337422,2432,1286,878,0,265
1780345435,2602,1425,875,0,294
1780351130,2732,1623,787,0,307
1780354002,2779,1672,785,0,305
1780356484,2789,1743,750,0,279
1780360361,2813,1802,695,0,310
1780364745,2834,1855,681,0,285
1780369335,2819,1839,669,0,294
1780378200,2665,1680,695,0,276
1780385473,2621,1569,734,0,295
1780392078,2584,1642,638,0,297
1780399538,2570,1669,574,0,308
1780405606,2605,1697,556,0,324
1780413444,2324,1469,552,0,295
1780421339,2349,1415,624,0,291
1780427267,2602,1636,620,0,324
1780433943,2680,1718,623,0,312
1780437615,2752,1778,593,0,353
1780443008,2798,1858,551,0,357
1780447039,2792,1859,524,0,377
1780451430,2837,1909,528,0,370
1780455775,2826,1896,525,0,380
1780464839,2661,1775,542,0,329
1780472075,2636,1699,569,0,347
1780479028,2639,1789,504,0,332
1780486380,2591,1719,512,0,351
1780493296,2567,1676,520,0,359
1780500543,2359,1498,536,0,321
1780508131,2349,1355,645,0,332
1780513954,2555,1505,664,0,376
1780520391,2672,1647,660,0,350
1780524128,2742,1639,689,0,397
1780529394,2858,1798,648,0,387
1780533491,2878,1765,631,0,463
1780537776,2905,1847,630,0,409
1780542180,2904,1863,641,0,385
1780551115,2754,1705,672,0,359
1780558274,2695,1617,694,0,354
1780564459,2659,1706,597,0,341
1780570824,2595,1669,564,0,351
1780577744,2604,1544,614,0,432
1780581575,2592,1591,601,0,383
1780585860,2614,1624,605,0,373
1780592340,2677,1669,625,0,376
1780595765,2689,1698,618,0,362
1780598760,2763,1739,608,0,406
1780601942,2790,1747,604,0,431
1780605549,2784,1801,588,0,386
1780608600,2781,1787,568,0,417
1780612040,2829,1817,553,0,451
1780615404,2861,1889,546,0,416
1780619437,2873,1868,529,0,470
1780623597,2873,1933,530,0,403
1780628488,2876,1924,534,0,412
1780637237,2770,1824,542,0,396
1780644165,2723,1709,563,0,435
1780650165,2692,1813,492,0,358
1780657330,2610,1731,491,0,377
1780664058,2592,1666,511,0,407
1780667729,2600,1660,529,0,404
1780671577,2465,1534,550,0,374
1780677936,2369,1330,651,0,382
1780680805,2393,1326,695,0,367
1780684473,2506,1386,730,0,395
1780687836,2640,1495,735,0,407
1780691574,2705,1545,766,0,389
1780694883,2709,1564,730,0,407
1780698189,2739,1572,751,0,406
1780701868,2789,1677,732,0,369
1780705678,2877,1736,727,0,399
